,0,1,2,3,4,5
19873-1darmst.jpg,8.318872,-8.011152,28.739101,3.2065883,-3.8815758,-23.261997
18759-guard301.jpg,5.7068124,-5.371371,21.604202,2.627643,-2.4363225,-17.768763
04589-temptati.jpg,13.51553,-13.077459,39.208904,4.3269496,-5.0969987,-32.392517
15104-magi.jpg,12.074939,-11.659351,36.87766,4.2377496,-4.7225275,-30.415081
36582-paolo_f1.jpg,15.068121,-14.670692,42.24037,4.699428,-5.5662417,-34.88103
00930-30coron.jpg,14.877406,-14.380007,42.15691,4.596828,-5.52331,-34.831406
24485-01view.jpg,13.646862,-13.415377,40.053204,4.7633452,-5.185309,-33.105045
18424-2105grec.jpg,14.469898,-14.119928,41.59824,4.476858,-5.2936597,-34.26365
21949-4lastsu3.jpg,8.479538,-8.103799,27.023083,3.2314267,-3.18666,-22.45253
03093-calvary.jpg,15.797741,-15.292625,42.649006,4.6383367,-5.7441854,-35.044804
20320-mountain.jpg,15.87571,-15.298346,43.109737,4.7068467,-5.643022,-35.703175
08705-pieta.jpg,15.81432,-15.23548,42.615295,4.6976657,-5.5708494,-35.243095
07640-descent.jpg,14.747175,-14.394679,42.776913,4.7766004,-5.566881,-35.293858
39738-04organ.jpg,11.645439,-11.265592,35.57043,4.184053,-4.5913663,-29.422785
29467-canal_mo.jpg,12.132351,-11.688686,37.098957,4.408853,-4.897803,-30.625423
39546-newspape.jpg,15.65295,-15.081525,43.246075,4.9244885,-5.576926,-35.769363
21388-odysseus.jpg,13.607374,-13.010564,38.93558,4.294049,-5.059648,-31.93318
12035-painstud.jpg,14.557039,-13.900473,41.773426,4.546566,-5.269355,-34.26787
21190-cpucine.jpg,9.790713,-9.330649,31.111115,3.4503107,-3.9848118,-25.627226
36091-4absalo1.jpg,13.948589,-13.494946,41.46186,4.469819,-5.1557226,-34.20176
20109-44hooch.jpg,15.062904,-14.455802,41.14633,4.502334,-5.2514033,-34.060173
09651-03barber.jpg,16.461288,-15.8755455,45.23853,4.9075694,-5.8163447,-37.486694
12270-verso14.jpg,12.789064,-12.466482,39.243073,4.588225,-4.7572765,-32.49388
23200-43monaco.jpg,9.4332285,-9.107158,31.682219,3.5075605,-3.8070457,-25.67301
14896-ulysses.jpg,9.703516,-9.462648,32.23291,3.6188433,-4.3959713,-26.241137
10183-3samson1.jpg,11.367198,-11.032197,34.898304,3.661703,-4.4458904,-28.53662
08845-01john1.jpg,13.869977,-13.116629,37.97611,4.3751073,-4.8338647,-31.499458
23406-seascape.jpg,17.363441,-16.681408,45.26021,4.975668,-5.969475,-37.502888
34189-jerom.jpg,16.418175,-15.9650135,45.634655,5.1032696,-5.6769032,-38.066227
14401-pieta.jpg,16.823877,-16.220531,45.153744,4.977793,-5.993843,-37.445602
00853-39_ador.jpg,15.382649,-14.964611,44.391758,4.9334626,-5.7065063,-36.415436
21250-barbier.jpg,15.833904,-15.346649,43.262554,4.862244,-5.58567,-35.801094
38606-landscax.jpg,17.977753,-17.420729,47.35187,5.155697,-6.2119217,-39.219093
11268-202delac.jpg,7.701036,-7.4199696,27.565313,3.2344472,-3.3948267,-22.68646
14968-tahiti14.jpg,13.600691,-13.146946,38.55279,4.1792574,-5.0525327,-31.751516
07480-13fligh.jpg,9.4450245,-9.139385,30.784702,3.5845783,-4.128282,-25.320194
31356-pastoral.jpg,10.850456,-10.536005,33.81219,3.8965585,-4.595605,-27.519724
32820-37entom.jpg,11.2038,-10.926671,34.489864,3.9081912,-4.4162335,-28.14974
31428-04homag.jpg,10.568018,-10.005426,31.475683,3.5208595,-4.138382,-25.894327
26763-09_62mn.jpg,11.276473,-11.002367,33.49987,3.6345475,-4.397783,-27.236322
